nodes,communities
boycotkochbros,2
PolitixGal,4
TeddyDavisCNN,2
hiitaylorblake,2
InvictosSomos,1
Callisto1947,4
ddlovato,2
funnyordie,2
NewportLost,4
EricWolfson,2
MrJoshPerry,5
crooksandliars,2
davidiansimpso3,4
VaughnHillyard,5
LogicalReverie,4
74f5c728e7d446d,3
w4djt,4
DonaldTrumpLA,4
elliosch,5
SoDamnTrue,3
RlDICULOUSNESS,2
HalleyBorderCol,4
PatriotVote2016,4
Kris_Sacrebleu,2
haliesalmon1,4
hautedamn,4
FootballFunnys,1
RosieGray,5
ShiWantsTheC,2
RepStevenSmith,4
RockNRollPics,2
gntlman,5
CallawayBOT,3
iatemuggles,3
PrdBlckRpblican,5
NormOrnstein,2
DrewMTips,5
Dad_Trump2,4
proteinwisdom,5
Trump2016News,4
adjunctprofessr,4
jimlibertarian,4
POLITICOMag,2
infowars,4
rickklein,5
rasalom666,5
SinEmbargoMX,2
aravosis,2
ThankYouBernie,3
ResistTyranny,4
slttl,3
AriBerman,2
Bikers4Trump,4
ShujaRabbani,2
BigBluetn65,4
GQMagazine,2
edatpost,2
roqchams,3
kellylover78,4
NoChillsZone,1
CaliforniaGOP45,4
stranahan,4
DannyEFreeman,3
AndrewKirell,5
albamonica,2
Kateee_05,3
ShooterMcGavin_,5
Patrici15767099,4
YugeGuns,4
TrumpNewMedia,4
Nettaaaaaaaa,2
OnlyHipHopFacts,3
JonFeere,4
latidosdelrock,1
aubrynathome,5
LizMair,5
DJKhaledKnows,1
word_34,2
PittsBern,3
TaraSetmayer,5
MyDaughtersArmy,2
nhdogmom,2
SeriesUpdatesFR,3
Anomaly100,2
Acosta,2
WIRED,2
GeorgesMonfils,2
fmanjoo,2
Wonkette,2
NewRepublic,2
JohnRiversToo,4
smilleesims,3
ZigZagSwag,3
Napoleonlegal,4
Billright50,4
Fahrenthold,2
SouthernHomo,3
ameripundit,4
GlennFranco68,4
TrapBernie,3
reidepstein,5
GlennThrush,2
wcgirl1,3
timkmak,5
iowacruzgirl,5
LeChatNoire4,2
scalpatriot,4
NiallSpanish,1
pink_lady56,4
JewhadiTM,4
pictoline,2
gcamp4,4
GlendaAhrens,4
crushingbort,3
SuperheroFeed,3
SquawkaNews,1
TaxWallStParty,2
dmckinney218,4
nycsouthpaw,2
abbydphillip,2
Toddkron,5
BobbyBigWheel,2
SDzzz,2
ThisIsFusion,3
GoddessKerriLyn,2
MarlowNYC,2
CNNSitRoom,2
GuyCodes,5
Gianluca_1970,4
Suthen_boy,4
SpeakerRyan,5
chrisgeidner,2
jesseberney,2
ariannahuff,2
trymainelee,2
justinjm1,2
BartMcCoy5,4
jamesplake721,4
ParkerMolloy,2
OccupyWallStNYC,3
dixiefortrump,4
KaivanShroff,2
AFP,2
paul_lander,2
JustinWolfers,2
YourPotus,4
JohnRMoffitt,2
BIZPACReview,4
wvjoe911,2
vaoaoga,3
ericbolling,4
viciousbabushka,2
illywhitesides,3
WesleyLowery,2
CliffWilkin,5
ChatRevolve,4
imfabulous13,2
9GAG,2
AlyLovesMovies,4
TweetingYarnie,3
MalyndaNyc,3
DavidKWilliams,3
BJHare,2
ChrisMegerian,2
odetoIarry,3
VancityReynolds,3
davidschneider,2
Only4RM,2
TrumpD2016,4
CNNMex,2
TheFliestPlane,3
RubinReport,4
lopezdoriga,2
espn,1
BuckSexton,5
abowersock,3
PaladinCornelia,2
Gus_802,2
BretBaier,5
KailiJoy,2
SimonMaloy,2
AdamWeinstein,2
CaAuthor,1
bad_bad_bernie,3
NerdyWonka,2
Lawsonbulk,2
RonanFarrow,2
ManUtdStuff,1
starknightz,4
JesseFFerguson,2
LexingtonBobby,4
girlsreallyrule,2
LitFreestyles,1
OTHdiary,3
alexrileyiscool,4
jorgeramosnews,2
EJDionne,2
mikyllablauvelt,3
Advil,3
IamVinnieF,3
jimmy_dore,3
MichellCClark,3
mikiebarb,2
ldbrillante,3
dmartosko,4
STRONG_OPED,4
WestWingReport,2
bernies_music,3
BerniceKing,2
DarrenJJordan,4
pittgriffin,2
HillarysMen,2
ErikaAndiola,3
Momfullofhope,4
trumpsterMG,4
kurteichenwald,2
Anna_Snackz,3
DianeHauschildt,4
Matthops82,5
JGreenDC,5
samswey,2
bfraser747,4
keithboykin,2
catoletters,4
superlioness1,4
farrightgregy,4
I_AmAmerica,4
Realjmannarino,4
fcktravis,3
mic,2
telesurenglish,3
Coondawg68,5
Brasilmagic,2
AnfieldHQ,1
BourneInTexas,4
kencampbell66,4
diomedes66,1
GuardianUS,3
KitDaniels1776,4
imcrews,5
Vets4Bernie,3
ryanstruyk,5
thegarance,2
RightForRubio,5
noonanjo,5
ForQ2,2
ImagineAnna,4
UrbanEngIish,3
coton_luver,2
srjones66,2
FaceTheNation,5
Honey17011,2
NaphiSoc,2
ginah89121,4
pegcamp78,4
BenSasse,5
PMgeezer,4
garyibe007,4
GrrrGraphics,4
BrotherVet,5
TSBible,1
sheriffali,2
VanJones68,3
TVDFRA,3
EdWorthy10,4
musicnews_facts,3
AnnTelnaes,2
Pandamoanimum,2
YG,3
NaughtyBeyotch,1
TheToddWilliams,2
usatoday2016,5
rachelzarrell,2
KenGardner11,5
DefendWallSt,5
MaryBeforeJane,3
rowblanchard,3
CalebHowe,5
tbhyourratchet,3
inyourface34,4
brothersnarmsUS,4
MEPFuller,2
crazylary51,2
PGourevitch,2
michaeldweiss,2
30SecMusics,1
rorycooper,5
YerOpinion,2
TMZ,4
AndyRichter,2
InfobaeAmerica,1
ChrisJZullo,2
GOPjenna,4
AdamSmith_USA,2
desusnice,2
worldnetdaily,4
SymoneDSanders,3
politicalmath,5
Sanjay25_,4
tchop__StL,2
MattOswaltVA,2
dubstep4dads,2
stevewightman1,4
finneyk,2
TearsInHeaven09,2
Fusion,2
KayQuirk1,5
ObsoleteDogma,2
UniPolitica,3
MrGeorgeWallace,2
HistoryInPics,2
AllenWestRepub,1
SonnyBunch,5
farwzaz,3
kharyp,2
KhaledBeydoun,3
feminizza,3
mkraju,2
voteforclintons,2
HillaryIn2016,2
prioritiesUSA,2
iJesseWilliams,2
scottienhughes,4
willbarrett_1,4
C4Constitution,4
WeLoveBernie1,3
cmichaeld2004,4
Parker_Votes,4
PatriotGeorgia,4
SCFC_OFICIAL,1
samkalidi,2
